[11:07:48.162] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/P/68
[11:41:16.477] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/member/logout
[11:41:16.481] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
[11:41:17.631] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
[11:42:11.686] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
[11:42:16.452] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=qwe123&userPwd=1
[11:42:16.668] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/main
[11:42:18.225] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[11:42:19.141] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/65
[11:42:22.306] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=65&replyContent=123&replyWriter=3
[12:17:17.769] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
[12:17:21.378] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=qwe123&userPwd=1
[12:17:21.561] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/main
[12:17:23.448] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:17:24.402] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/65
[12:17:24.451] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=65
[12:17:26.231] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=65&replyContent=12321312&replyWriter=3
[12:17:26.256] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=65
[12:17:31.584] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=65&replyContent=123213&replyWriter=3
[12:17:31.592] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=65
[12:17:33.623] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=65&replyContent=213213&replyWriter=3
[12:17:33.638] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=65
[12:20:32.319] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=65&replyContent=sadasasds&replyWriter=3
[12:20:32.332] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=65
[12:20:37.097] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:42.208] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/48
[12:20:43.514] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/48
[12:20:43.664] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=48
[12:20:46.105] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/50
[12:20:46.132] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=50
[12:20:53.127] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:54.451] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:54.693] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:55.111] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:55.323] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:55.543] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:55.729] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/list/N
[12:20:56.982] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/65
[12:20:57.014] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=65
[12:21:01.749] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/1
[12:21:01.777] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=
[12:21:07.634] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=&replyContent=안녕하세요!&replyWriter=3
[12:21:09.051] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=&replyContent=&replyWriter=3
[12:21:12.690] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/1
[12:21:12.722] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=
[12:21:15.785] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/board/detail/N/48
[12:21:15.812] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=48
[12:21:20.434] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=48&replyContent=안녕하세요!&replyWriter=3
[12:21:20.446] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=48
[12:21:28.017] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/insert?refBno=48&replyContent=안녕하쎼옘ㄴㅇㅇㅇㅇㅇㅇㅇㅇ&replyWriter=3
[12:21:28.025] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/reply/selectReplyList?bno=48
[14:33:17.608] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
[14:33:19.126] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:34:30.543] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:34:31.932] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/resources/css/chat-style.css
[14:35:55.087] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:35:56.886] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:35:57.956] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:35:59.200] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:35:59.801] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:36:00.603] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[14:36:05.201] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=qwe123&userPwd=1
[14:36:05.485] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=qwe123&userPwd=1
[14:36:05.697] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/main
[14:36:07.297] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[14:36:11.111] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/openChatRoom?title=123
[14:36:12.627] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[14:36:37.915] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[14:36:38.029] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[14:36:38.757] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[14:36:39.307] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[14:37:00.262] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[14:37:00.302] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/resources/css/chat-style.css
[14:37:38.187] - 0:0:0:0:0:0:0:1:web:qwe123:http://localhost:8081/spring/chat/chatRoomList
[15:00:34.874] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[15:00:35.267] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/resources/css/chat-style.css
[15:00:57.494] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[15:00:57.494] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[15:00:57.983] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[15:00:58.198] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[15:00:58.346] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
[15:01:05.029] - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=qwe123&userPwd=1
